"assignees__assignee_organization","assignees__assignee_total_num_patents","assignees__assignee_lastknown_latitude","assignees__assignee_lastknown_longitude","assignees__assignee_lastknown_city","count","total_assignee_count"
"Genband US LLC","192","33.0197","-96.6986","Plano","",""
"Kellogg Brown & Root LLC","192","29.7631","-95.3631","Houston","",""
"Conduent Business Services, LLC","190","32.7833","-96.8","Dallas","",""
"Technologies Holdings Corp.","188","29.7631","-95.3631","Houston","",""
"Varco I/P, Inc.","187","29.7631","-95.3631","Houston","",""
"Catalytic Distillation Technologies","184","30.1578","-95.4892","The Woodlands","",""
"Kraton Polymers U.S. LLC","180","29.7631","-95.3631","Houston","",""
"Lyondell Chemical Technology, L.P.","171","29.7631","-95.3631","Houston","",""
"Overhead Door Corporation","171","33.0461","-96.9939","Lewisville","",""
"Dresser, Inc.","171","32.9617","-96.8289","Addison","",""
"ZTE (USA) Inc.","164","32.9481","-96.7294","Richardson","",""
"Oceaneering International, Inc.","155","29.7631","-95.3631","Houston","",""
"United Services Automobile Association","149","29.4239","-98.4933","San Antonio","",""
"Luminex Corporation","145","30.2669","-97.7428","Austin","",""
"Securus Technologies, Inc.","140","32.9536","-96.89","Carrollton","",""
"Lancer Partnership, Ltd.","137","29.4239","-98.4933","San Antonio","",""
"Minigrip, Inc.","137","29.5686","-97.9644","Seguin","",""
"Headwater Partners I LLC","136","32.3511","-95.3008","Tyler","",""
"Multimedia Games, Inc.","136","30.2669","-97.7428","Austin","",""
"International Development LLC","132","33.0039","-97.2256","Roanoke","",""
"The Brinkmann Corporation","129","32.7833","-96.8","Dallas","",""
"Applied Optoelectronics, Inc.","128","29.6194","-95.6347","Sugar Land","",""
"Seven Networks, LLC","127","32.5447","-94.3672","Marshall","",""
"Victor Equipment Company","125","33.2147","-97.1328","Denton","",""
"Craftmade International, Inc.","124","32.9544","-97.0147","Coppell","",""
